Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,22.549999,22.600000,22.180000,22.520000,22.520000,20474100
2020-10-02,22.360001,23.320000,22.340000,22.590000,22.590000,35482000
2020-10-05,22.719999,23.010000,22.340000,22.830000,22.830000,22837500
2020-10-06,23.090000,23.379999,22.709999,22.870001,22.870001,21135900
2020-10-07,22.930000,23.000000,22.570000,22.700001,22.700001,22796100
2020-10-08,22.719999,24.280001,22.600000,24.070000,24.070000,63209400
2020-10-09,23.900000,24.610001,23.590000,24.000000,24.000000,48948600
2020-10-13,23.980000,24.129999,23.620001,23.770000,23.770000,31012000
2020-10-14,23.889999,23.969999,23.660000,23.700001,23.700001,22051900
2020-10-15,23.459999,23.730000,23.260000,23.490000,23.490000,21805300
2020-10-16,23.410000,23.450001,23.090000,23.110001,23.110001,21154200
2020-10-19,23.250000,23.950001,22.940001,23.360001,23.360001,38280600
2020-10-20,23.520000,24.400000,23.500000,24.290001,24.290001,45724900
2020-10-21,24.260000,24.940001,24.070000,24.510000,24.510000,38138400
2020-10-22,24.570000,25.920000,24.549999,25.770000,25.770000,66456800
2020-10-23,25.900000,26.299999,25.469999,25.510000,25.510000,44152200
2020-10-26,25.299999,25.860001,25.160000,25.620001,25.620001,32133100
2020-10-27,26.100000,26.170000,24.690001,24.889999,24.889999,47280100
2020-10-28,24.250000,24.420000,23.730000,23.780001,23.780001,38652600
2020-10-29,23.580000,24.040001,23.040001,23.900000,23.900000,42962500
2020-10-30,23.650000,23.930000,23.230000,23.480000,23.480000,39190000
